Word,Count
خر,33
گاو,40
گوسفند,17
يك,29
مقدار,17
بيشتر,30
مى,35
فهمه,2
کلمه,50
سلبریتی,4
ساسی,10
مانکن,13
کز,6
گوشه,43
دیکشنری,2
دایره,4
لغات,2
کنین,75
خوار,7
نشم,14
😩,5
آقا,151
خوایم,1
ساعت,489
بیولوژیکی,1
بدنمون,5
بفهمونیم,2
عصر,35
دپ,4
نزن,24
نمی,75
دونم,8
سوسکه,1
انقدر,215
سریع,62
میدوئه،بابا,1
آخرش,77
مرگه,1
ایه,11
ش,52
ترس,73
ايران,24
هيچ,22
مسئولي,1
كنار,10
نميشه،,2
بلكه,3
پستي,1
پستِ,2
ديگه,74
منتقل,31
‏یسری,2
دوربین,48
صداسیما,5
مصاحبه,20
میکردم,128
پرسید,90
منتظر,86
هستی,69
مردم,287
اقایی,2
بهرام,3
شفیع,1
نمیدونم,140
کردنم,7
گونی,7
مامانم,250
بافتن,3
شال‌,1
کلاه,15
رسیده,39
استدعا,2
اگر,284
کودکان,9
عیدی,124
بدید،,6
وجه,12
نقد,19
بپردازید,1
هدیه,32
..,225
کام,8
زبون‌بسته‌ها,2
تلخ,28
می‌کنه,132
لحظه,167
پیرترین,2
سنى,4
هستید,29
بودید,12
جوانترین,2
ابد,16
خواهید,7
لذت,88
ببرید,8
…,44
پیام,133
[,27
نکردن,31
دَر،,1
بهتر,103
بازکردنه,1
],27
میکنم,389
دَرو,1
مهمونا,28
نمی‌کنم,11
کنترل,44
سرعت,76
میبینید,9
دستتون,9
دماغتون,3
میارید؟,3
‏بابا,5
خیالمونم,1
نوروز,63
سرسبز,2
باشه.انقد,1
پارکا,2
کود,3
دادین,3
مملکتو,1
گه,71
برداشته,12
بیایید,9
جلوگیری,38
مرگ,101
میر,5
ماهی,82
قرمز،,4
خرید,108
آنها,34
خودداری,4
هیچکس,48
دیگر,79
پرورش,12
ندهد,3
جانور,3
منقرض,13
گردد,1
یکى,6
ازم,93
خواستگارى,2
رفت،,13
شتر,13
شوخى,1
عجبا؛,1
اندفعه,1
شماره,75
عاقد,3
گذاشتم,62
جیبم،,1
حرف,340
بزنین,13
میارم,14
روغن,22
مار,15
مو,49
لالا,2
لند,1
مگه,128
شيراز,4
نيست؟؟,1
‏بابام,35
دهنم,19
بو,37
کشید,35
خوردم,55
دهنت,17
بوی,88
سیگار,127
میده؟,7
‏رفیقای,1
دبستان,14
اونجاش,51
14,16
میبینیشون,2
میفهمی,24
3-4,2
ساله,183
تیشرت,12
پوشیدن,18
سرتو,8
میکنی,177
آستینت,1
‏خوابگاه,1
اتاق,103
4,38
نفری,17
نکنین,34
میخوام,155
لباسمو,4
عوض,117
حریم,5
امنتو,1
میساختی,1
بدبختی,42
زیر,223
میزمو,1
تمیز,76
ببرم,11
نشونشون,4
بدم,154
بالای,40
۸۰,22
میلیون,127
تومن,173
نشستی,13
مزاحم,7
نشو,10
میگیم,26
میخوانت,1
تبلیغات,8
خوشمزگی,1
غذاها,4
روغنشونه،,1
خوش,125
تیپی,2
آدما,119
شامپوشون،,1
نوع,37
پفکشون،,1
پالم,1
وجود,152
باور,65
تظاهر,7
نفرت,8
سیزده,110
بدر,72
نشونه,10
کول,4
خاص,22
نیست؛,11
افسردگی,39
ضد,41
بودنه,6
خسته,79
شدم,260
نیم,78
استراحت,23
ندادم؟,1
پيشرفت,2
مثبتى,1
استيج,2
نسبت,59
شركت,3
كننده,4
تونن,3
اينستاگرام,6
لايو,2
آپديت,3
اينستاگرامه,1
هيچى,6
‏مو,1
فکر,540
میکُنُم,1
دِرِجه,1
نباد,1
دُشته,1
نام,92
رضا,24
روحانى,2
هرجا,23
ميره,19
خودشو,60
معرفى,2
كنه,40
ميگه,34
ساخته,48
استاد,84
انوشيروان,1
هستم,63
^_^,8
شبکه,70
سه,287
سامان,6
گلریز,2
دنت,5
میکرد.توهمه,1
میریخت,7
بارم,43
آبگوشت,3
پخت,4
‏ولي,6
جالبه,26
بدونيد,3
وقتي,41
عاشق,87
دهن,46
دوستاي,2
صميميشون,1
سرويس,1
),5686
کنکور,37
ریده,16
ِ,5
داداشم,53
بود،,142
هعی,4
اهمال,2
کردی،اهمال,1
کردی،بعدش,1
چی؟,52
گوشم,21
يكى,23
سكانس,1
سريال,2
یبار,46
مدرسه,121
شورای,24
دانش,31
اموزی,1
کاندید,13
صف,29
دخترانه,2
میزنم,58
پیششون,6
تفریحا،سه,1
اخراجم,1
‏صبح,16
زود,104
پا,107
میشی,87
میری,85
دستشویی,49
برمیگردی,11
دوباره,157
میخابی,1
ظهر,59
بخاطرش,4
بری,116
نونوایی،,3
بربری,10
داغ,15
بخری،تنها,1
چای,39
سیگارم,7
زیاده,16
‏آخرین,4
خوشحال,79
‏پسر,11
راهنمايى,1
ميبينن,5
خودنمايى؟,1
غريضيه؟,1
‏دوش,1
سحر,26
خاصی,46
نیفتاد,6
امشبم,1
اتفاقی,46
نمیافته,1
سحرهای,1
نخواهد,23
افتاد,73
لوپ,2
عبث,2
قرار,218
گرفته,178
ایم,24
‏صداقت,1
شرایطی,19
وظیفه‌ست،,1
منّتش,1
سرِ,9
نذارید,10
دوستیم,1
دبیرستان,18
۵,80
ویولون,2
سخت,82
ول,48
‏درس,2
خوندن,49
شهر,143
میزنه,163
رفتی,35
کلاس؟,2
پتو,29
کلاسم,2
میزم,1
عاشیق,1
کوچولو,18
😍,14
‏کثیف‌ترین,1
حیله‌ی,1
خونه‌تکونی,2
مادرا,26
بهت,162
نمیگن,15
کمک،,1
کارای,29
خطرناک,13
پاشی,8
دستش,67
بگیرید،,5
بی‌منت,1
‏اینکه,21
خانواده,150
شی,38
ادعا,4
وهمیشه,1
توخونه,4
هاشون,32
جاداری,1
واقع,37
وخانواده,1
نداشته,72
بزرگیه,2
خوابگاه,10
سگ,108
مرده,48
یارو,105
شیشه,48
ادکلن,6
خودش،,5
بعدش,121
ایی,4
مردن,14
‏این,81
هفت,86
جدید,266
نی,9
سایت,19
گرفتن,134
بودم،یکی,1
نوشته,180
سس,16
گوجه,18
مالیدم,1
سینه,15
م,37
پسرم,49
مامانو,1
جوییده,2
دانشگاه,153
خوشم,45
میومد،,3
عمدی,1
تنه,6
جزوه‌هاش,1
بهم,305
سیلی,5
‏دختره,7
تاکسی,48
بله,45
آقای,74
راننده،تو,1
اصلا,181
حقوق,55
زنها,10
رسیدگی,11
قایم,14
آجیل,42
توجیه,18
مهموناست,1
جمله,85
کلک,3
مادر,168
نقض,9
كاشكي,2
فاميلامون,5
بدونن,7
ميشيم,13
مبلغ,10
عيدي,8
زياد,7
ندن,11
بهمون,56
ده,109
دهه‌ی,2
فرهادیه,1
دارد,75
دادن,187
روزه‌ی,2
عیدیِ,1
فرهاد,7
آداب,7
مهم,127
سالم,61
آغوش,16
برگزارکرد.نمیدونم,1
نارنجک,18
کوکتل,2
مولوتف,1
انداختم,10
آغوشش,1
ناراحت,85
‏پر,1
ترین,141
اسفنده,2
رتبه,7
1,26
",",110
سازمان,56
سنجش,3
حسى,1
دارى؟,1
لامسه,1
بويايى,1
مجدد,8
عموی,7
دارم،,31
دیدنی,50
واقعا,364
برخورد,50
قطع,76
ظرف,42
نقره,3
کُتم,1
جاسازی,1
نیوفته,3
بابات,34
دیش,4
تنظیم,33
تصویر,30
چک,76
دلیلی,13
بخوام,27
ریاضت,1
بکشم,20
ودرجات,1
عرفان,2
سرهم,4
طی,32
درجه,26
الارض,2
نائل,2
سختی,22
مسافرت,58
تجربه,75
نکنم,17
فامیل,99
میکردیم,54
سمتم,7
تیر,16
اندازی,5
نیفتادم,2
نمردم,1
خشونت,6
باباش,41
گذاشت,43
گردنم,7
خوابیدم,17
ولت,6
‏بچه,21
فاميل,14
بهونه,24
ى,19
بازى,4
ميزنيش,1
اگرم,7
گريه,6
كرد,26
مكر,1
عمروعاصى,1
ميگى,2
باهات,42
نميكنما,1
دولت,41
سوئد،,2
خدمت,23
سربازی,26
اجباری,12
اساس,60
ژانویه,2
2018،,1
دختران,10
پسرانی,1
متولد,19
1999,1
هستند,78
بروند,3
گفتيم,3
خسوف,3
كسوف,1
اشتباه,112
ميگيريم,1
ببينيد,7
اولش,32
خ,7
خورشيد,2
گرفتگى,1
❤️,7
داییم,33
عمرش,14
پاریس,7
هروقت,74
تلویزیون,59
میده,223
برج,12
ایفله,2
😐,40
کیک,31
تولدتون,4
میگیرید,8
دماغ‌تون,1
دستی,23
یا,770
بازم,78
خوشبحالتون,3
خوشتون,8
میگید,36
50,12
%,22
حله.مال,1
33.3,1
۱۰,88
سانت,9
ناخن,17
میکارید,1
چطوری,51
دشویی,3
میرید؟,1
چاق,66
نمیشم,14
شکست,75
عشقیه,2
طرز,22
همساده,1
بالایی,21
6,32
صب,16
مبلاشونو,1
جابجا,12
هنو,2
تموم,294
نشده,80
بزنید,50
دلش,60
بخواد,45
بخوابه,8
کاری،,3
دانشگاهی،,1
قسطی,1
غذاش,3
آماده‌س,1
نفع,8
کمترم,2
پاشین,4
اومدن,93
برم,210
خارج,76
سالی,50
2-3,1
آشناهای,2
میپرسم,16
ایرون,1
چنده؟,7
بفهمن,19
نشینم,1
رفیقم,54
معلمه,7
آموزشو,1
نشونم,5
خوردیم,15
رفقات,1
پفک,8
میارن,20
میخورید؟,3
پيژامه,1
قديمى,2
دمكنى,1
ميكنيم،,4
مجرياى,1
سى,3
كراوات,1
صبونه,10
پیتزای,7
یخچال,37
موندس,1
توپتون,1
اینجا,111
پاره,57
کودکی,22
تهدیدآمیز,1
نبود,112
آخرین,75
باری,27
بانکیم,3
داشتم,268
هیتلر,8
دژبان,1
شنا,12
لاغر,25
نهنگ‌,1
ادرار,6
دسشویی,23
هواپیما,13
نشت,2
یخ,9
شبیه,70
نیزه,2
کشتتش,1
گویا,11
بدشانس‌تر,2
دلیل,138
اصابت,3
جیش,11
تخم,13
مرغ,24
عسلی,2
نیمرو,2
کردم،,59
حرفه,6
برش,11
جانونی,1
فول,9
آرشیو,1
محسن,25
چاوشی,5
بررسی,25
کلاغ,3
خودکشی,16
روزهای,37
هفته,216
دقیق,18
بگردی,3
پراید,35
۱۳۲,3
قیچی,3
سیم,11
بمب,22
سخت‌تر,7
مسیج,18
نمیشناسه,4
میگری,1
کیف,26
فرقی,28
سالت,6
سبز,24
چیه،,11
دعا,42
زودتر,46
دلمون,19
پوشال‌های,1
کولر,15
تنگ,97
الكي,3
مارلون,1
براندو,1
نميشه,13
اسكار,5
بزنه,101
قشنگ,142
کاخ,8
سعدآباد,1
اونجاشه,1
هزینه,44
ورودی,53
برا,182
ایرانیه,6
2500,2
ه,2
خارجیا,16
15,22
هزار,187
جاییه,4
بکار,6
۸,52
